source_frame_index,background_dx_px,background_dy_px,background_feature_count,camera_motion_status,camera_motion_residual_px,camera_motion_method,affine_a,affine_b,affine_tx,affine_c,affine_d,affine_ty,affine_scale,affine_inlier_fraction
0,0.0,0.0,0,INSUFFICIENT_EVIDENCE,,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
1,0.0,-1.1444091796875e-05,109,SUPPORTED,0.00018453043594490737,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
2,46.03704833984375,1.9073486328125e-06,106,SUPPORTED,5.035301208496094,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
3,0.0,1.71661376953125e-05,107,SUPPORTED,0.00038200817652978003,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
4,0.0,-1.71661376953125e-05,106,SUPPORTED,0.00037065910873934627,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
5,-43.328125,2.0136489868164062,97,UNSTABLE_TRANSFORM,73.43777465820312,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
6,0.0,-5.7220458984375e-06,107,SUPPORTED,0.0001661146234255284,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
7,0.0,3.814697265625e-06,107,SUPPORTED,0.00021690168068744242,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
8,0.0,0.00014495849609375,96,UNSTABLE_TRANSFORM,30.66403579711914,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
9,0.0,0.0,112,SUPPORTED,0.0,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
10,0.0,0.0,112,SUPPORTED,0.0,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
11,-0.0072021484375,0.003330230712890625,87,SUPPORTED,0.401912122964859,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
12,0.0,5.7220458984375e-05,71,SUPPORTED,0.00036081168218515813,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
13,0.0,0.0,71,SUPPORTED,5.91278076171875e-05,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
14,39.27008056640625,6.67572021484375e-05,62,UNSTABLE_TRANSFORM,12.07234001159668,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
15,0.0,-1.9073486328125e-06,78,SUPPORTED,0.00015735626220703125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
16,0.0,0.0,78,SUPPORTED,0.0,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
17,0.0,-9.5367431640625e-06,57,SUPPORTED,0.0009666946134530008,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
18,0.0,-4.38690185546875e-05,59,SUPPORTED,0.00021690168068744242,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
19,0.0,0.0,59,SUPPORTED,0.000244140625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
20,0.0,-3.814697265625e-05,57,SUPPORTED,0.0004521060036495328,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
21,0.0,9.5367431640625e-06,57,SUPPORTED,0.001346411183476448,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
22,0.0,-9.918212890625e-05,55,SUPPORTED,0.0009019803255796432,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
23,0.0,-1.33514404296875e-05,51,SUPPORTED,0.00042969139758497477,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
24,0.0,3.814697265625e-06,47,SUPPORTED,0.00015490676742047071,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
25,0.0,3.814697265625e-05,47,SUPPORTED,0.00016021728515625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
26,0.0,5.7220458984375e-05,47,SUPPORTED,0.00034646608401089907,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
27,0.0,2.86102294921875e-05,46,SUPPORTED,0.00026035308837890625,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
28,0.0,3.814697265625e-06,45,SUPPORTED,0.0001258271950064227,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
29,0.0,-1.1444091796875e-05,45,SUPPORTED,0.000342898623785004,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
30,0.0,-4.9591064453125e-05,45,SUPPORTED,0.0004496976325754076,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
31,0.0,0.0,46,SUPPORTED,0.0,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
32,0.0,-6.389617919921875e-05,46,SUPPORTED,0.0004811734543181956,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
33,0.0,-1.1444091796875e-05,45,SUPPORTED,0.0003784248838201165,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
34,0.0,1.33514404296875e-05,45,SUPPORTED,0.000141143798828125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
35,-0.0001220703125,0.00014495849609375,45,SUPPORTED,0.012330696918070316,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
36,0.0,-1.1444091796875e-05,43,SUPPORTED,0.000446319580078125,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
37,6.103515625e-05,-5.626678466796875e-05,42,SUPPORTED,0.00045597509597428143,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
38,-0.0001220703125,0.0010175704956054688,42,SUPPORTED,0.012240130454301834,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
39,0.0,-5.7220458984375e-06,42,SUPPORTED,0.0003858472337014973,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
40,0.0,-2.47955322265625e-05,42,SUPPORTED,0.00046623602975159883,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
41,0.0,-8.296966552734375e-05,40,SUPPORTED,0.0006811929633840919,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
42,0.0,4.38690185546875e-05,40,SUPPORTED,0.000364369509043172,translation_median_sparse_flow,1.0,0.0,0.0,0.0,1.0,0.0,,
