source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,path_input_center_x,path_input_center_y,center_status,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height,translation_camera_motion_status,translation_camera_motion_method,translation_background_dx_px,translation_background_dy_px,translation_background_feature_count,translation_camera_motion_residual_px,translation_affine_scale,translation_affine_inlier_fraction,affine_camera_motion_status,affine_camera_motion_method,affine_background_dx_px,affine_background_dy_px,affine_background_feature_count,affine_camera_motion_residual_px,affine_affine_scale,affine_affine_inlier_fraction,translation_raw_dx,translation_raw_dy,translation_compensated_dx,translation_compensated_dy,translation_compensated_x,translation_compensated_y,translation_projected_heading_deg,translation_normalized_projected_speed_per_s,translation_path_segment_id,translation_path_status,translation_path_rejection_reason,affine_raw_dx,affine_raw_dy,affine_compensated_dx,affine_compensated_dy,affine_compensated_x,affine_compensated_y,affine_projected_heading_deg,affine_normalized_projected_speed_per_s,affine_path_segment_id,affine_path_status,affine_path_rejection_reason,chosen_raw_dx,chosen_raw_dy,chosen_compensated_dx,chosen_compensated_dy,chosen_compensated_x,chosen_compensated_y,chosen_projected_heading_deg,chosen_normalized_projected_speed_per_s,chosen_path_segment_id,chosen_path_status,chosen_path_rejection_reason,chosen_path_validation_status,chosen_path_validation_reason
0,0,0.0,VALID_TARGET,,1.0,636.521858215332,331.1665954589844,635.6718521118164,331.1665954589844,SUPPORTED,627.5486381322958,356.57948590674533,426.3346303501946,81.12334653905583,402.4280155642023,550.912278735379,INSUFFICIENT_EVIDENCE,translation_median_sparse_flow,0.0,0.0,0.0,,,,INSUFFICIENT_EVIDENCE,partial_affine_ransac_sparse_flow,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,SUPPORTED,,,,,,0.0,0.0,,,path_segment_001,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
1,1,33.333333333333336,VALID_TARGET,,1.0,635.8548355102539,324.66185760498047,634.5611228942871,334.21166229248047,SUPPORTED,629.2420233463035,355.4897693114446,426.7330739299611,79.1860725918545,405.0178988326848,552.6073934391802,SUPPORTED,translation_median_sparse_flow,0.0,-1.1444091796875e-05,109.0,0.00018453043594490737,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0825463018570039,-0.034595373289934644,109.0,0.010695073361116858,1.0000689250633368,1.0,-1.1107292175292969,3.0450668334960938,-1.1107292175292969,3.0450782775878906,-1.1107292175292969,3.0450782775878906,-110.0400541845569,0.6836490139437094,path_segment_001,SUPPORTED,,-1.1107292175292969,3.0450668334960938,-1.0626611641820318,3.038917770325895,-1.0626611641820318,3.038917770325895,-109.27391911416764,0.679014864787809,path_segment_001,SUPPORTED,,-1.1107292175292969,3.0450668334960938,-1.0626611641820318,3.038917770325895,-1.0626611641820318,3.038917770325895,,,path_segment_001,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
2,2,66.66666666666667,VALID_TARGET,,1.0,633.4503936767578,337.25672912597656,633.4503936767578,335.5246124267578,SUPPORTED,630.9354085603113,354.4000527161439,427.13151750972764,77.24879864465316,407.6077821011673,554.3025081429814,SUPPORTED,translation_median_sparse_flow,46.03704833984375,1.9073486328125e-06,106.0,5.035301208496094,,,SUPPORTED,partial_affine_ransac_sparse_flow,57.31807960637311,-2.2336490445004338,34.0,0.9704070457112542,0.9901631264704658,0.32075471698113206,-1.1107292175292969,1.3129501342773438,-47.14777755737305,1.312948226928711,-48.258506774902344,4.358026504516602,-178.40486743078256,9.948084789932123,path_segment_001,SUPPORTED,,-1.1107292175292969,1.3129501342773438,-51.370653514685046,5.289376080647401,-52.43331467886708,8.328293850973296,-174.1212603180951,10.89218585371437,path_segment_001,SUPPORTED,,-1.1107292175292969,1.3129501342773438,-51.370653514685046,5.289376080647401,-52.43331467886708,8.328293850973296,,,path_segment_001,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
3,3,100.0,VALID_TARGET,,1.0,632.8261795043945,338.5690460205078,633.3691864013672,337.25672912597656,SUPPORTED,632.6287937743191,353.31033612084315,427.5299610894942,75.31152469745183,410.19766536964977,555.9976228467826,SUPPORTED,translation_median_sparse_flow,0.0,1.71661376953125e-05,107.0,0.00038200817652978003,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0024890120283143787,-0.004654950436409417,107.0,0.001098561241803083,1.0000025391047402,1.0,-0.081207275390625,1.73211669921875,-0.081207275390625,1.7320995330810547,-48.33971405029297,6.090126037597656,-92.68427387680471,0.3657291292621836,path_segment_001,SUPPORTED,,-0.081207275390625,1.73211669921875,-0.07865316683353285,1.7327602811075735,-52.51196784570061,10.06105413208087,-92.59897649221554,0.365843515531037,path_segment_001,SUPPORTED,,-0.081207275390625,1.73211669921875,-0.07865316683353285,1.7327602811075735,-52.51196784570061,10.06105413208087,,,path_segment_001,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
4,4,133.33333333333334,VALID_TARGET,,1.0,631.6665725708008,335.5246124267578,632.8083648681641,338.5690460205078,SUPPORTED,634.3221789883269,352.2206195255424,427.9284046692607,73.3742507502505,412.78754863813225,557.6927375505838,SUPPORTED,translation_median_sparse_flow,0.0,-1.71661376953125e-05,106.0,0.00037065910873934627,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0038919329589872796,0.0007758561656416481,106.0,0.0008775200503291017,1.0000029752137625,1.0,-0.560821533203125,1.31231689453125,-0.560821533203125,1.3123340606689453,-48.900535583496094,7.402460098266602,-113.13927760284302,0.3010078886132071,path_segment_001,SUPPORTED,,-0.560821533203125,1.31231689453125,-0.559262377196319,1.311379665787456,-53.07123022289693,11.372433797868325,-113.09673022827567,0.30069364020789946,path_segment_001,SUPPORTED,,-0.560821533203125,1.31231689453125,-0.559262377196319,1.311379665787456,-53.07123022289693,11.372433797868325,,,path_segment_001,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
5,5,166.66666666666666,VALID_TARGET,,1.0,632.7318267822266,350.5256042480469,634.1396560668945,350.4141082763672,SUPPORTED,636.0155642023346,351.1309029302417,428.32684824902725,71.43697680304916,415.37743190661473,559.387852254385,UNSTABLE_TRANSFORM,translation_median_sparse_flow,-43.328125,2.0136489868164062,97.0,73.43777465820312,,,LOW_BACKGROUND_FEATURE_COUNT,partial_affine_ransac_sparse_flow,0.0,0.0,11.0,,,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,,,,,,,,,,LOW_BACKGROUND_FEATURE_COUNT,Camera compensation was not supported.,,,,,,,,,,LOW_BACKGROUND_FEATURE_COUNT,Camera compensation was not supported.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
6,6,200.0,VALID_TARGET,,1.0,634.1396560668945,352.7564239501953,634.1396560668945,351.54490661621094,SUPPORTED,636.1151750972763,350.8887436868415,423.34630350194556,69.741862099248,425.53774319066144,562.293763175187,SUPPORTED,translation_median_sparse_flow,0.0,-5.7220458984375e-06,107.0,0.0001661146234255284,,,SUPPORTED,partial_affine_ransac_sparse_flow,0.0008304760584527159,0.0005549816974530818,107.0,0.00031904525242814523,0.9999993972863519,1.0,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,,,,,0.0,0.0,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
7,7,233.33333333333337,VALID_TARGET,,1.0,634.2684326171875,351.54490661621094,634.1396560668945,351.5492401123047,SUPPORTED,636.2147859922179,350.6465844434414,418.3657587548638,68.04674739544683,435.69805447470816,565.199674095989,SUPPORTED,translation_median_sparse_flow,0.0,3.814697265625e-06,107.0,0.00021690168068744242,,,SUPPORTED,partial_affine_ransac_sparse_flow,-0.0021583711369250187,-0.010418075987270493,107.0,0.003824014894119049,0.9999991026732981,1.0,0.0,0.00433349609375,0.0,0.004329681396484375,0.0,0.004329681396484375,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,0.0,0.00433349609375,0.005555490374604233,0.009965579885829356,0.005555490374604233,0.009965579885829356,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,0.0,0.00433349609375,0.005555490374604233,0.009965579885829356,0.005555490374604233,0.009965579885829356,,,path_segment_002,INSUFFICIENT_EVIDENCE,Continuous path run is shorter than the configured minimum sample count.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
8,8,266.6666666666667,VALID_TARGET,,1.0,624.4303665161133,348.80531311035156,624.0805435180664,350.8557434082031,SUPPORTED,636.3143968871595,350.40442520004115,413.3852140077821,66.35163269164566,445.8583657587548,568.105585016791,UNSTABLE_TRANSFORM,translation_median_sparse_flow,0.0,0.00014495849609375,96.0,30.66403579711914,,,LOW_BACKGROUND_FEATURE_COUNT,partial_affine_ransac_sparse_flow,0.0,0.0,21.0,,,,,,,,,,,,,UNSTABLE_TRANSFORM,Camera compensation was not supported.,,,,,,,,,,LOW_BACKGROUND_FEATURE_COUNT,Camera compensation was not supported.,,,,,,,,,,LOW_BACKGROUND_FEATURE_COUNT,Camera compensation was not supported.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
9,9,300.0,VALID_TARGET,,1.0,623.9780426025391,349.08343505859375,625.2562026977539,350.8557434082031,SUPPORTED,636.4140077821012,350.162265956641,408.40466926070036,64.6565179878445,456.0186770428015,571.011495937593,SUPPORTED,translation_median_sparse_flow,0.0,0.0,112.0,0.0,,,SUPPORTED,partial_affine_ransac_sparse_flow,-3.1060337366871985e-05,0.00012844168788824512,112.0,3.5806998960089964e-05,0.9999999948858719,1.0,,,,,0.0,0.0,,,path_segment_003,SUPPORTED,,,,,,0.0,0.0,,,path_segment_003,SUPPORTED,,,,,,0.0,0.0,,,path_segment_003,QA_REQUIRED,Projected path contains a large step relative to the median supported step.,QA_REQUIRED,Projected path contains a large step relative to the median supported step.
